Ticker,Company Name,Exchange,Monitoring
META,Meta Platforms Inc.,NASDAQ,auto
GO.U,GO Residential Real Estate Investment Trust,TSXV,auto
SRG,Seritage Growth Properties,NYSE,auto
WFC,Wells Fargo & Company,NYSE,auto
IWG,International Workplace Group plc,LSE,auto
EBAY,eBay Inc.,NASDAQ,auto
BABA,Alibaba Group Holding Limited,NYSE,auto
BAC,Bank of America Corporation,NYSE,auto
AXP,American Express Company,NYSE,auto
SD,SandRidge Energy Inc.,NYSE,auto
GNE,Genie Energy Ltd.,NYSE,auto
NC,NACCO Industries Inc.,NYSE,auto
MOV,Movado Group Inc.,NYSE,auto
TIG,Team Internet Group plc,LSE,auto
RIG,Transocean Ltd.,NYSE,auto
B,Barrick Mining Corporation,NYSE/TSX,auto
HYFT,MindWalk Holdings Corp.,NASDAQ,auto
STLA,Stellantis N.V.,NYSE,auto
OTCM,OTC Markets Group Inc.,OTCQX,auto
IDWM,IDW Media Holdings Inc.,OTC,auto
BHM,Bluerock Homes Trust Inc.,NYSE American,auto
FRVIA,Forvia SE,Euronext Paris,auto
AAUC,Allied Gold Corporation,TSX,auto
URL,NameSilo Technologies Corp.,CSE,auto
LTC,Lotus Creek Exploration Inc.,TSXV,auto
FOOD,Goodfood Market Corp.,TSX,auto
MTY,MTY Food Group Inc.,TSX,auto
SEC,Senvest Capital Inc.,TSX,auto
VLE,Valeura Energy Inc.,TSX,auto
HME,Hemisphere Energy Corporation,TSXV,auto
MMY,Monument Mining Limited,TSXV,auto
RET.A,Reitmans (Canada) Limited,TSX,auto
AEP,Atlas Engineered Products Ltd.,TSXV,auto
TMG,Thermal Energy International Inc.,TSXV,auto
RW,RenoWorks Software Inc.,TSXV,auto
JTC,JEMTEC Inc.,TSXV,manual
IMI,Ironman International Ltd.,TSXV,manual
ZC,Zimtu Capital Corp.,TSXV,manual
GVC,Glacier Media Inc.,TSXV,auto
